#;Company;Symbol;Weight;Price;Chg;% Chg;Date
1;Apple Inc.;AAPL;6.69%;204.93;5.19;(2.60%);2025-04-23
2;Microsoft Corp;MSFT;6.08%;376.57;9.75;(2.66%);2025-04-23
3;Nvidia Corp;NVDA;5.40%;103.88;4.99;(5.05%);2025-04-23
4;Amazon.com Inc;AMZN;3.64%;182.06;8.88;(5.13%);2025-04-23
5;Meta Platforms, Inc. Class A;META;2.44%;522.06;21.78;(4.35%);2025-04-23
6;Berkshire Hathaway Class B;BRK.B;2.13%;526.56;5.77;(1.11%);2025-04-23
7;Alphabet Inc. Class A;GOOGL;1.97%;155.62;4.15;(2.74%);2025-04-23
8;Broadcom Inc.;AVGO;1.77%;178.96;9.38;(5.53%);2025-04-23
9;Alphabet Inc. Class C;GOOG;1.62%;158.07;4.17;(2.71%);2025-04-23
10;Tesla, Inc.;TSLA;1.48%;257.76;19.79;(8.32%);2025-04-23
11;Jpmorgan Chase & Co.;JPM;1.47%;241.42;5.82;(2.47%);2025-04-23
12;Eli Lilly & Co.;LLY;1.45%;826.91;-0.63;(-0.08%);2025-04-23
13;Visa Inc.;V;1.27%;335.33;3.93;(1.18%);2025-04-23
14;Exxon Mobil Corporation;XOM;1.05%;107.27;-1.03;(-0.95%);2025-04-23
15;Netflix Inc;NFLX;0.99%;1,050.02;9.68;(0.93%);2025-04-23
16;Costco Wholesale Corp;COST;0.97%;973.17;-6.06;(-0.62%);2025-04-23
17;Mastercard Incorporated;MA;0.96%;531.41;4.08;(0.77%);2025-04-23
18;Walmart Inc.;WMT;0.92%;94.57;-0.28;(-0.30%);2025-04-23
19;Procter & Gamble Company;PG;0.88%;164.12;-3.76;(-2.24%);2025-04-23
20;Unitedhealth Group Incorporated;UNH;0.88%;429.93;2.75;(0.64%);2025-04-23
21;Johnson & Johnson;JNJ;0.85%;154.91;-2.84;(-1.80%);2025-04-23
22;Home Depot, Inc.;HD;0.79%;356.66;2.23;(0.63%);2025-04-23
23;Abbvie Inc.;ABBV;0.68%;176.42;2.64;(1.52%);2025-04-23
24;Coca-Cola Company;KO;0.64%;72.63;-1.27;(-1.71%);2025-04-23
25;Philip Morris International Inc.;PM;0.57%;167.06;2.95;(1.80%);2025-04-23
26;Bank of America Corporation;BAC;0.57%;38.88;0.56;(1.45%);2025-04-23
27;Salesforce, Inc.;CRM;0.52%;252.64;9.25;(3.80%);2025-04-23
28;Chevron Corporation;CVX;0.51%;136.68;-0.62;(-0.45%);2025-04-23
29;Mcdonald's Corporation;MCD;0.51%;317.33;-1.75;(-0.55%);2025-04-23
30;Abbott Laboratories;ABT;0.51%;129.30;-2.43;(-1.84%);2025-04-23
31;International Business Machines Corporation;IBM;0.50%;244.57;3.67;(1.52%);2025-04-23
32;Cisco Systems, Inc.;CSCO;0.49%;56.01;0.97;(1.76%);2025-04-23
33;Wells Fargo & Co.;WFC;0.49%;68.03;1.80;(2.72%);2025-04-23
34;Linde Plc;LIN;0.48%;447.60;-7.01;(-1.54%);2025-04-23
35;Oracle Corp;ORCL;0.46%;132.29;5.05;(3.96%);2025-04-23
36;Ge Aerospace;GE;0.45%;194.48;5.30;(2.80%);2025-04-23
