#;Company;Symbol;Weight;Price;Chg;% Chg;Date
1;Apple Inc.;AAPL;6.73%;209.28;0.91;(0.44%);2025-04-27
2;Microsoft Corp;MSFT;6.19%;391.85;4.55;(1.17%);2025-04-27
3;Nvidia Corp;NVDA;5.60%;111.01;4.58;(4.30%);2025-04-27
4;Amazon.com Inc;AMZN;3.78%;188.99;2.45;(1.31%);2025-04-27
5;Meta Platforms, Inc. Class A;META;2.51%;547.27;14.12;(2.65%);2025-04-27
6;Berkshire Hathaway Class B;BRK.B;2.09%;530.96;-0.68;(-0.13%);2025-04-27
7;Alphabet Inc. Class A;GOOGL;2.00%;161.96;2.68;(1.68%);2025-04-27
8;Broadcom Inc.;AVGO;1.90%;192.31;4.16;(2.21%);2025-04-27
9;Alphabet Inc. Class C;GOOG;1.64%;163.85;2.38;(1.47%);2025-04-27
10;Tesla, Inc.;TSLA;1.56%;284.95;25.44;(9.80%);2025-04-27
11;Jpmorgan Chase & Co.;JPM;1.47%;243.55;-1.09;(-0.45%);2025-04-27
12;Eli Lilly & Co.;LLY;1.46%;884.54;24.81;(2.89%);2025-04-27
13;Visa Inc.;V;1.24%;335.17;-0.54;(-0.16%);2025-04-27
14;Exxon Mobil Corporation;XOM;1.02%;108.57;-0.06;(-0.06%);2025-04-27
15;Netflix Inc;NFLX;1.01%;1,101.53;4.66;(0.42%);2025-04-27
16;Mastercard Incorporated;MA;0.94%;533.48;-1.98;(-0.37%);2025-04-27
17;Costco Wholesale Corp;COST;0.93%;977.16;1.68;(0.17%);2025-04-27
18;Walmart Inc.;WMT;0.89%;95.09;-0.75;(-0.78%);2025-04-27
19;Unitedhealth Group Incorporated;UNH;0.84%;418.64;-5.61;(-1.32%);2025-04-27
20;Procter & Gamble Company;PG;0.80%;161.02;1.49;(0.93%);2025-04-27
21;Johnson & Johnson;JNJ;0.80%;154.58;-0.35;(-0.23%);2025-04-27
22;Home Depot, Inc.;HD;0.77%;357.58;-2.06;(-0.57%);2025-04-27
23;Abbvie Inc.;ABBV;0.68%;186.06;5.69;(3.15%);2025-04-27
24;Coca-Cola Company;KO;0.60%;71.91;-0.61;(-0.84%);2025-04-27
25;Philip Morris International Inc.;PM;0.57%;170.24;0.17;(0.10%);2025-04-27
26;Bank of America Corporation;BAC;0.56%;39.69;0.11;(0.28%);2025-04-27
27;Salesforce, Inc.;CRM;0.54%;267.85;3.15;(1.19%);2025-04-27
28;Chevron Corporation;CVX;0.50%;138.73;-0.34;(-0.24%);2025-04-27
29;Wells Fargo & Co.;WFC;0.49%;69.73;0.17;(0.24%);2025-04-27
