#;Company;Symbol;Weight;Price;Chg;% Chg;Date
1;Apple Inc.;AAPL;6.52%;196.98;2.71;(1.39%);2025-04-20
2;Microsoft Corp;MSFT;6.17%;367.78;-3.83;(-1.03%);2025-04-20
3;Nvidia Corp;NVDA;5.72%;101.49;-3.00;(-2.87%);2025-04-20
4;Amazon.com Inc;AMZN;3.67%;172.61;-1.72;(-0.99%);2025-04-20
5;Meta Platforms, Inc. Class A;META;2.46%;501.48;-0.83;(-0.17%);2025-04-20
6;Berkshire Hathaway Class B;BRK.B;2.12%;518.21;1.76;(0.34%);2025-04-20
7;Alphabet Inc. Class A;GOOGL;2.00%;151.16;-2.17;(-1.42%);2025-04-20
8;Broadcom Inc.;AVGO;1.83%;170.99;-3.62;(-2.07%);2025-04-20
9;Alphabet Inc. Class C;GOOG;1.64%;153.36;-2.14;(-1.38%);2025-04-20
10;Tesla, Inc.;TSLA;1.51%;241.37;-0.18;(-0.07%);2025-04-20
11;Jpmorgan Chase & Co.;JPM;1.43%;231.96;2.35;(1.02%);2025-04-20
12;Eli Lilly & Co.;LLY;1.29%;839.96;105.06;(14.30%);2025-04-20
13;Visa Inc.;V;1.28%;329.61;-1.72;(-0.52%);2025-04-20
14;Unitedhealth Group Incorporated;UNH;1.20%;454.11;-130.93;(-22.38%);2025-04-20
15;Exxon Mobil Corporation;XOM;1.01%;106.92;2.73;(2.62%);2025-04-20
16;Costco Wholesale Corp;COST;0.96%;994.50;26.75;(2.76%);2025-04-20
17;Mastercard Incorporated;MA;0.93%;517.33;3.90;(0.76%);2025-04-20
18;Netflix Inc;NFLX;0.92%;973.03;11.40;(1.19%);2025-04-20
19;Walmart Inc.;WMT;0.88%;93.22;2.03;(2.23%);2025-04-20
20;Procter & Gamble Company;PG;0.87%;170.63;4.24;(2.55%);2025-04-20
21;Johnson & Johnson;JNJ;0.83%;157.47;3.56;(2.31%);2025-04-20
22;Home Depot, Inc.;HD;0.77%;355.06;9.07;(2.62%);2025-04-20
23;Abbvie Inc.;ABBV;0.68%;172.99;1.31;(0.76%);2025-04-20
24;Coca-Cola Company;KO;0.62%;73.00;1.32;(1.84%);2025-04-20
25;Philip Morris International Inc.;PM;0.56%;163.21;2.73;(1.70%);2025-04-20
26;Bank of America Corporation;BAC;0.55%;37.41;0.08;(0.21%);2025-04-20
27;Salesforce, Inc.;CRM;0.53%;247.26;-2.58;(-1.03%);2025-04-20
28;Chevron Corporation;CVX;0.51%;137.87;2.51;(1.85%);2025-04-20
29;Abbott Laboratories;ABT;0.50%;130.98;1.28;(0.99%);2025-04-20
30;Cisco Systems, Inc.;CSCO;0.50%;55.76;0.00;(0.00%);2025-04-20
31;Mcdonald's Corporation;MCD;0.50%;311.30;2.20;(0.71%);2025-04-20
32;International Business Machines Corporation;IBM;0.49%;238.81;0.24;(0.10%);2025-04-20
33;Linde Plc;LIN;0.48%;452.12;4.13;(0.92%);2025-04-20
34;Oracle Corp;ORCL;0.47%;128.62;-1.14;(-0.88%);2025-04-20
35;Wells Fargo & Co.;WFC;0.47%;64.71;0.73;(1.14%);2025-04-20
36;Ge Aerospace;GE;0.44%;181.79;-0.66;(-0.36%);2025-04-20
37;At&t Inc.;T;0.43%;27.15;0.13;(0.48%);2025-04-20
38;Merck & Co., Inc.;MRK;0.43%;78.00;1.54;(2.01%);2025-04-20
39;Pepsico, Inc.;PEP;0.43%;142.84;2.75;(1.96%);2025-04-20
40;Palantir Technologies Inc. Class A;PLTR;0.42%;93.78;1.07;(1.15%);2025-04-20
41;Verizon Communications;VZ;0.41%;44.04;0.43;(0.99%);2025-04-20
42;Accenture Plc;ACN;0.40%;282.35;-2.89;(-1.01%);2025-04-20
43;Rtx Corporation;RTX;0.38%;128.89;-0.36;(-0.28%);2025-04-20
44;Intuitive Surgical Inc.;ISRG;0.38%;482.74;1.40;(0.29%);2025-04-20
45;Thermo Fisher Scientific, Inc.;TMO;0.37%;427.50;-9.29;(-2.13%);2025-04-20
46;Intuit Inc;INTU;0.37%;585.38;-2.70;(-0.46%);2025-04-20
47;Servicenow, Inc.;NOW;0.37%;772.16;-24.50;(-3.08%);2025-04-20
48;Progressive Corporation;PGR;0.36%;265.45;-9.68;(-3.52%);2025-04-20
49;Goldman Sachs Group Inc.;GS;0.35%;509.49;10.44;(2.09%);2025-04-20
50;Uber Technologies, Inc.;UBER;0.34%;75.24;2.18;(2.98%);2025-04-20
51;Amgen Inc;AMGN;0.34%;277.29;-5.35;(-1.89%);2025-04-20
52;Booking Holdings Inc.;BKNG;0.34%;4,573.31;32.47;(0.72%);2025-04-20
53;Qualcomm Inc;QCOM;0.34%;136.66;0.92;(0.68%);2025-04-20
54;Adobe Inc.;ADBE;0.33%;348.80;4.61;(1.34%);2025-04-20
55;The Walt Disney Company;DIS;0.33%;84.81;2.04;(2.46%);2025-04-20
56;S&p Global Inc.;SPGI;0.33%;462.88;-1.10;(-0.24%);2025-04-20
57;Advanced Micro Devices;AMD;0.32%;87.50;-0.79;(-0.89%);2025-04-20
58;Tjx Companies, Inc.;TJX;0.32%;127.62;1.31;(1.04%);2025-04-20
59;American Express Company;AXP;0.31%;251.31;-1.61;(-0.64%);2025-04-20
60;Boston Scientific Corp.;BSX;0.31%;95.12;-0.13;(-0.14%);2025-04-20
61;Caterpillar Inc.;CAT;0.31%;294.25;4.11;(1.42%);2025-04-20
62;Nextra Energy, Inc.;NEE;0.30%;66.31;0.67;(1.02%);2025-04-20
63;Morgan Stanley;MS;0.30%;109.18;1.32;(1.22%);2025-04-20
64;Texas Instruments Incorporated;TXN;0.30%;148.44;1.89;(1.29%);2025-04-20
65;Union Pacific Corp.;UNP;0.29%;220.26;3.66;(1.69%);2025-04-20
66;Gilead Sciences Inc;GILD;0.29%;104.54;-0.34;(-0.32%);2025-04-20
67;The Charles Schwab Corporation;SCHW;0.29%;76.15;0.45;(0.59%);2025-04-20
68;Comcast Corp;CMCSA;0.28%;34.01;0.46;(1.37%);2025-04-20
69;Blackrock, Inc.;BLK;0.28%;875.78;10.00;(1.16%);2025-04-20
70;Honeywell International, Inc.;HON;0.28%;196.60;3.32;(1.72%);2025-04-20
71;Pfizer Inc.;PFE;0.28%;22.14;0.10;(0.45%);2025-04-20
72;Vertex Pharmaceuticals Inc;VRTX;0.28%;489.10;3.21;(0.66%);2025-04-20
73;T-Mobile Us, Inc.;TMUS;0.28%;262.04;2.40;(0.92%);2025-04-20
74;Danaher Corporation;DHR;0.27%;186.83;-3.83;(-2.01%);2025-04-20
75;Lowe's Companies Inc.;LOW;0.27%;219.00;4.59;(2.14%);2025-04-20
76;Automatic Data Processing;ADP;0.27%;293.28;-0.86;(-0.29%);2025-04-20
77;Fiserv, Inc.;FI;0.27%;208.66;-1.45;(-0.69%);2025-04-20
78;Stryker Corporation;SYK;0.27%;346.50;-0.17;(-0.05%);2025-04-20
79;Boeing Company;BA;0.26%;161.90;5.43;(3.47%);2025-04-20
80;Citigroup Inc.;C;0.26%;63.25;1.15;(1.85%);2025-04-20
81;Deere & Company;DE;0.26%;452.07;-0.35;(-0.08%);2025-04-20
82;Marsh & Mclennan Companies, Inc.;MMC;0.25%;220.07;-11.25;(-4.86%);2025-04-20
83;Palo Alto Networks, Inc.;PANW;0.25%;167.69;-2.07;(-1.22%);2025-04-20
84;Applied Materials Inc;AMAT;0.25%;137.46;-0.73;(-0.53%);2025-04-20
85;Conocophillips;COP;0.25%;88.98;2.62;(3.03%);2025-04-20
86;Eaton Corporation, Plcs;ETN;0.24%;268.32;-0.84;(-0.31%);2025-04-20
87;Chubb Limited;CB;0.24%;285.59;0.52;(0.18%);2025-04-20
88;Medtronic Plc;MDT;0.24%;82.60;-0.10;(-0.12%);2025-04-20
89;American Tower Corporation;AMT;0.23%;222.66;4.66;(2.14%);2025-04-20
90;Elevance Health, Inc.;ELV;0.23%;424.53;-10.51;(-2.42%);2025-04-20
91;Bristol-Myers Squibb Co.;BMY;0.22%;49.23;-0.13;(-0.26%);2025-04-20
92;Lockheed Martin Corp.;LMT;0.22%;464.08;-13.00;(-2.72%);2025-04-20
93;The Southern Company;SO;0.22%;91.81;1.34;(1.48%);2025-04-20
94;Altria Group, Inc.;MO;0.22%;58.16;0.89;(1.55%);2025-04-20
95;Blackstone Inc.;BX;0.21%;130.39;1.01;(0.78%);2025-04-20
96;Cme Group Inc.;CME;0.21%;262.53;1.14;(0.44%);2025-04-20
97;Crowdstrike Holdings, Inc. Class A;CRWD;0.21%;375.62;-4.22;(-1.11%);2025-04-20
98;Duke Energy Corporation;DUK;0.21%;121.80;1.45;(1.20%);2025-04-20
99;Prologis, Inc.;PLD;0.21%;102.10;1.81;(1.80%);2025-04-20
100;Starbucks Corp;SBUX;0.21%;81.50;0.74;(0.92%);2025-04-20
101;Intercontinental Exchange  Inc.;ICE;0.20%;158.64;0.20;(0.13%);2025-04-20
102;Ge Vernova Inc.;GEV;0.20%;323.55;-4.61;(-1.40%);2025-04-20
103;The Cigna Group;CI;0.20%;330.13;0.69;(0.21%);2025-04-20
104;Welltower Inc.;WELL;0.20%;147.27;1.64;(1.13%);2025-04-20
105;Analog Devices, Inc.;ADI;0.20%;176.27;0.34;(0.19%);2025-04-20
106;Mckesson Corporation;MCK;0.19%;697.08;2.38;(0.34%);2025-04-20
107;Cvs Health Corporation;CVS;0.19%;67.29;-1.26;(-1.84%);2025-04-20
108;Mondelez International, Inc. Class A;MDLZ;0.19%;67.32;0.84;(1.26%);2025-04-20
109;Kla Corporation;KLAC;0.19%;634.43;-7.76;(-1.21%);2025-04-20
110;Arthur J. Gallagher & Co.;AJG;0.19%;329.22;-3.44;(-1.03%);2025-04-20
111;Waste Management, Inc.;WM;0.19%;230.91;1.34;(0.58%);2025-04-20
112;Lam Research Corp;LRCX;0.19%;63.76;-1.38;(-2.12%);2025-04-20
113;Intel Corp;INTC;0.19%;18.93;-0.30;(-1.56%);2025-04-20
114;Aon Plc Class A;AON;0.18%;367.41;-5.41;(-1.45%);2025-04-20
115;Amphenol Corporation;APH;0.18%;65.06;0.29;(0.45%);2025-04-20
116;O'reilly Automotive, Inc.;ORLY;0.18%;1,390.90;26.54;(1.95%);2025-04-20
117;Micron Technology, Inc.;MU;0.17%;68.80;-0.53;(-0.76%);2025-04-20
118;The Sherwin-Williams Company;SHW;0.17%;333.38;2.10;(0.63%);2025-04-20
119;Equinix, Inc. Reit;EQIX;0.17%;790.15;11.48;(1.47%);2025-04-20
120;Colgate-Palmolive Company;CL;0.17%;95.50;2.01;(2.15%);2025-04-20
121;Transdigm Group Incorporated;TDG;0.17%;1,337.66;1.36;(0.10%);2025-04-20
122;Arista Networks;ANET;0.17%;71.20;-0.67;(-0.93%);2025-04-20
123;Trane Technologies Plc;TT;0.17%;333.16;2.52;(0.76%);2025-04-20
124;Northrop Grumman Corp.;NOC;0.16%;540.39;2.88;(0.54%);2025-04-20
125;Parker-Hannifin Corporation;PH;0.16%;561.00;1.55;(0.28%);2025-04-20
126;Cadence Design Systems;CDNS;0.16%;260.22;0.96;(0.37%);2025-04-20
127;Williams Companies Inc.;WMB;0.16%;58.62;0.36;(0.62%);2025-04-20
128;3m Company;MMM;0.16%;130.21;-0.25;(-0.19%);2025-04-20
129;Motorola Solutions, Inc.;MSI;0.16%;420.95;0.50;(0.12%);2025-04-20
130;General Dynamics Corporation;GD;0.16%;276.08;-0.55;(-0.20%);2025-04-20
131;Cintas Corp;CTAS;0.16%;205.76;1.04;(0.51%);2025-04-20
132;United Parcel Service, Inc. Class B;UPS;0.15%;96.43;2.23;(2.37%);2025-04-20
133;Kkr & Co. Inc.;KKR;0.15%;103.37;1.32;(1.29%);2025-04-20
134;Moody's Corporation;MCO;0.15%;424.86;-0.83;(-0.19%);2025-04-20
135;Zoetis Inc.;ZTS;0.15%;148.67;1.91;(1.30%);2025-04-20
136;Chipotle Mexican Grill, Inc.;CMG;0.15%;48.17;0.09;(0.19%);2025-04-20
137;Synopsys Inc;SNPS;0.14%;413.32;-2.33;(-0.56%);2025-04-20
138;Constellation Energy Corporation;CEG;0.14%;206.68;2.49;(1.22%);2025-04-20
139;Newmont Corporation;NEM;0.14%;55.08;-0.87;(-1.55%);2025-04-20
140;Nike, Inc.;NKE;0.14%;55.76;2.21;(4.13%);2025-04-20
141;Illinois Tool Works Inc.;ITW;0.14%;230.84;1.04;(0.45%);2025-04-20
142;Fortinet, Inc.;FTNT;0.14%;96.13;0.06;(0.06%);2025-04-20
143;Capital One Financial;COF;0.14%;162.77;2.71;(1.69%);2025-04-20
144;Eog Resources, Inc.;EOG;0.14%;110.50;2.26;(2.09%);2025-04-20
145;Doordash, Inc. Class A;DASH;0.14%;181.24;1.85;(1.03%);2025-04-20
146;Pnc Financial Services Group;PNC;0.13%;152.33;0.79;(0.52%);2025-04-20
147;Autozone, Inc.;AZO;0.13%;3,603.47;36.61;(1.03%);2025-04-20
148;Roper Technologies, Inc.;ROP;0.13%;557.24;0.97;(0.17%);2025-04-20
149;Paypal Holdings, Inc.;PYPL;0.13%;61.00;0.76;(1.26%);2025-04-20
150;Ecolab, Inc.;ECL;0.13%;238.73;2.77;(1.17%);2025-04-20
151;Hca Healthcare, Inc.;HCA;0.13%;335.01;4.01;(1.21%);2025-04-20
152;U.S. Bancorp;USB;0.13%;38.20;0.38;(1.00%);2025-04-20
153;Air Products & Chemicals, Inc.;APD;0.13%;262.90;1.58;(0.60%);2025-04-20
154;Regeneron Pharmaceuticals Inc;REGN;0.13%;563.16;13.88;(2.53%);2025-04-20
155;Becton, Dickinson and Co.;BDX;0.13%;198.71;-1.69;(-0.84%);2025-04-20
156;The Travelers Companies, Inc.;TRV;0.13%;255.86;3.38;(1.34%);2025-04-20
157;American Electric Power Company, Inc.;AEP;0.13%;107.71;1.79;(1.69%);2025-04-20
158;Apollo Global Management, Inc.;APO;0.13%;126.78;1.57;(1.25%);2025-04-20
159;Autodesk Inc;ADSK;0.13%;259.47;-0.69;(-0.27%);2025-04-20
160;Emerson Electric Co.;EMR;0.12%;99.57;0.90;(0.91%);2025-04-20
161;Bank of New York Mellon Corporation;BK;0.12%;76.34;0.61;(0.81%);2025-04-20
162;Aflac Inc.;AFL;0.12%;107.44;0.10;(0.09%);2025-04-20
163;Csx Corporation;CSX;0.12%;27.68;0.33;(1.21%);2025-04-20
164;Oneok, Inc.;OKE;0.12%;86.23;1.43;(1.69%);2025-04-20
165;Copart Inc;CPRT;0.12%;59.68;0.24;(0.40%);2025-04-20
166;Kinder Morgan, Inc.;KMI;0.12%;27.10;0.15;(0.56%);2025-04-20
167;The Allstate Corporation;ALL;0.12%;194.66;0.42;(0.22%);2025-04-20
168;Johnson Controls International Plc;JCI;0.11%;76.83;0.17;(0.22%);2025-04-20
169;Hilton Worldwide Holdings Inc.;HLT;0.11%;210.45;1.36;(0.65%);2025-04-20
170;Howmet Aerospace Inc.;HWM;0.11%;123.23;-0.70;(-0.56%);2025-04-20
171;Realty Income Corporation;O;0.11%;58.32;1.06;(1.85%);2025-04-20
172;Marriot International Class A;MAR;0.11%;220.41;1.62;(0.74%);2025-04-20
173;Republic Services Inc.;RSG;0.11%;243.28;-0.33;(-0.14%);2025-04-20
174;Cencora, Inc.;COR;0.11%;286.74;2.30;(0.81%);2025-04-20
175;Airbnb, Inc. Class A;ABNB;0.11%;112.70;0.06;(0.05%);2025-04-20
176;Workday, Inc. Class A;WDAY;0.11%;221.02;-6.69;(-2.94%);2025-04-20
177;Norfolk Southern Corp.;NSC;0.11%;219.84;5.81;(2.71%);2025-04-20
178;American International Group, Inc.;AIG;0.11%;81.14;0.17;(0.21%);2025-04-20
179;Freeport-Mcmoran Inc.;FCX;0.11%;32.90;-0.42;(-1.26%);2025-04-20
180;Schlumberger Limited;SLB;0.11%;35.11;0.96;(2.81%);2025-04-20
181;Carrier Global Corporation;CARR;0.11%;59.90;0.71;(1.20%);2025-04-20
182;Royal Caribbean Group;RCL;0.11%;192.69;0.99;(0.52%);2025-04-20
183;Truist Financial Corporation;TFC;0.11%;35.90;-0.10;(-0.28%);2025-04-20
184;Digital Realty Trust, Inc.;DLR;0.10%;150.75;2.57;(1.73%);2025-04-20
