#;Company;Symbol;Weight;Price;Chg;% Chg;Date
1;Apple Inc.;AAPL;6.52%;196.98;2.71;(1.39%);2025-04-19
2;Microsoft Corp;MSFT;6.17%;367.78;-3.83;(-1.03%);2025-04-19
3;Nvidia Corp;NVDA;5.72%;101.49;-3.00;(-2.87%);2025-04-19
4;Amazon.com Inc;AMZN;3.67%;172.61;-1.72;(-0.99%);2025-04-19
5;Meta Platforms, Inc. Class A;META;2.46%;501.48;-0.83;(-0.17%);2025-04-19
6;Berkshire Hathaway Class B;BRK.B;2.12%;518.21;1.76;(0.34%);2025-04-19
7;Alphabet Inc. Class A;GOOGL;2.00%;151.16;-2.17;(-1.42%);2025-04-19
8;Broadcom Inc.;AVGO;1.83%;170.99;-3.62;(-2.07%);2025-04-19
9;Alphabet Inc. Class C;GOOG;1.64%;153.36;-2.14;(-1.38%);2025-04-19
10;Tesla, Inc.;TSLA;1.51%;241.37;-0.18;(-0.07%);2025-04-19
11;Jpmorgan Chase & Co.;JPM;1.43%;231.96;2.35;(1.02%);2025-04-19
12;Eli Lilly & Co.;LLY;1.29%;839.96;105.06;(14.30%);2025-04-19
13;Visa Inc.;V;1.28%;329.61;-1.72;(-0.52%);2025-04-19
14;Unitedhealth Group Incorporated;UNH;1.20%;454.11;-130.93;(-22.38%);2025-04-19
15;Exxon Mobil Corporation;XOM;1.01%;106.92;2.73;(2.62%);2025-04-19
16;Costco Wholesale Corp;COST;0.96%;994.50;26.75;(2.76%);2025-04-19
17;Mastercard Incorporated;MA;0.93%;517.33;3.90;(0.76%);2025-04-19
18;Netflix Inc;NFLX;0.92%;973.03;11.40;(1.19%);2025-04-19
19;Walmart Inc.;WMT;0.88%;93.22;2.03;(2.23%);2025-04-19
20;Procter & Gamble Company;PG;0.87%;170.63;4.24;(2.55%);2025-04-19
21;Johnson & Johnson;JNJ;0.83%;157.47;3.56;(2.31%);2025-04-19
22;Home Depot, Inc.;HD;0.77%;355.06;9.07;(2.62%);2025-04-19
23;Abbvie Inc.;ABBV;0.68%;172.99;1.31;(0.76%);2025-04-19
24;Coca-Cola Company;KO;0.62%;73.00;1.32;(1.84%);2025-04-19
