#;Company;Symbol;Weight;Price;Chg;% Chg;Date
1;Apple Inc.;AAPL;6.74%;205.24;-8.08;(-3.79%);2025-05-02
2;Microsoft Corp;MSFT;6.65%;436.38;10.98;(2.58%);2025-05-02
3;Nvidia Corp;NVDA;5.75%;114.52;2.91;(2.61%);2025-05-02
4;Amazon.com Inc;AMZN;3.77%;190.62;0.42;(0.22%);2025-05-02
5;Meta Platforms, Inc. Class A;META;2.64%;600.46;28.25;(4.94%);2025-05-02
6;Berkshire Hathaway Class B;BRK.B;2.04%;537.84;7.61;(1.43%);2025-05-02
7;Alphabet Inc. Class A;GOOGL;1.98%;164.02;2.72;(1.69%);2025-05-02
8;Broadcom Inc.;AVGO;1.95%;204.82;7.49;(3.79%);2025-05-02
9;Tesla, Inc.;TSLA;1.65%;293.29;12.77;(4.55%);2025-05-02
10;Alphabet Inc. Class C;GOOG;1.62%;165.87;3.08;(1.89%);2025-05-02
11;Jpmorgan Chase & Co.;JPM;1.45%;252.75;5.86;(2.37%);2025-05-02
12;Eli Lilly & Co.;LLY;1.32%;826.83;32.73;(4.12%);2025-05-02
13;Visa Inc.;V;1.24%;346.46;4.01;(1.17%);2025-05-02
14;Netflix Inc;NFLX;1.02%;1,153.41;19.94;(1.76%);2025-05-02
15;Exxon Mobil Corporation;XOM;0.97%;105.51;-0.27;(-0.26%);2025-05-02
16;Mastercard Incorporated;MA;0.94%;559.42;12.79;(2.34%);2025-05-02
17;Costco Wholesale Corp;COST;0.93%;1,006.81;7.77;(0.78%);2025-05-02
18;Walmart Inc.;WMT;0.89%;98.39;0.98;(1.01%);2025-05-02
19;Procter & Gamble Company;PG;0.79%;160.04;0.06;(0.04%);2025-05-02
20;Johnson & Johnson;JNJ;0.78%;155.71;1.25;(0.81%);2025-05-02
21;Unitedhealth Group Incorporated;UNH;0.78%;399.47;-1.22;(-0.30%);2025-05-02
22;Home Depot, Inc.;HD;0.75%;364.88;6.58;(1.84%);2025-05-02
23;Abbvie Inc.;ABBV;0.72%;197.36;4.02;(2.08%);2025-05-02
24;Coca-Cola Company;KO;0.58%;71.47;0.18;(0.25%);2025-05-02
25;Bank of America Corporation;BAC;0.56%;40.97;0.80;(1.98%);2025-05-02
26;Philip Morris International Inc.;PM;0.56%;170.26;0.21;(0.12%);2025-05-02
27;Salesforce, Inc.;CRM;0.54%;275.26;5.93;(2.20%);2025-05-02
28;Palantir Technologies Inc. Class A;PLTR;0.50%;123.33;7.13;(6.13%);2025-05-02
29;Wells Fargo & Co.;WFC;0.50%;73.95;2.14;(2.98%);2025-05-02
30;Oracle Corp;ORCL;0.50%;151.47;5.97;(4.11%);2025-05-02
31;Cisco Systems, Inc.;CSCO;0.49%;59.09;0.97;(1.66%);2025-05-02
32;Chevron Corporation;CVX;0.48%;137.84;1.58;(1.16%);2025-05-02
33;Abbott Laboratories;ABT;0.48%;132.02;1.14;(0.87%);2025-05-02
34;Mcdonald's Corporation;MCD;0.47%;313.19;-0.45;(-0.14%);2025-05-02
35;International Business Machines Corporation;IBM;0.47%;244.44;4.78;(1.99%);2025-05-02
36;Ge Aerospace;GE;0.46%;208.03;4.41;(2.17%);2025-05-02
37;Linde Plc;LIN;0.45%;455.16;7.11;(1.59%);2025-05-02
38;Merck & Co., Inc.;MRK;0.44%;83.71;0.44;(0.53%);2025-05-02
39;At&t Inc.;T;0.42%;27.43;-0.21;(-0.78%);2025-05-02
40;Servicenow, Inc.;NOW;0.42%;976.55;18.60;(1.94%);2025-05-02
41;Accenture Plc;ACN;0.40%;304.87;4.34;(1.44%);2025-05-02
42;Intuitive Surgical Inc.;ISRG;0.39%;529.98;12.80;(2.47%);2025-05-02
43;Pepsico, Inc.;PEP;0.39%;133.57;0.02;(0.02%);2025-05-02
44;Verizon Communications;VZ;0.38%;43.57;0.27;(0.61%);2025-05-02
45;Intuit Inc;INTU;0.37%;633.41;10.22;(1.64%);2025-05-02
46;Goldman Sachs Group Inc.;GS;0.36%;567.10;13.27;(2.40%);2025-05-02
47;Rtx Corporation;RTX;0.36%;130.19;2.78;(2.18%);2025-05-02
48;Uber Technologies, Inc.;UBER;0.36%;84.67;3.78;(4.67%);2025-05-02
49;Booking Holdings Inc.;BKNG;0.36%;5,169.33;67.90;(1.33%);2025-05-02
50;The Walt Disney Company;DIS;0.35%;92.71;1.90;(2.09%);2025-05-02
