#;Company;Symbol;Weight;Price;Chg;% Chg;Date
1;Apple Inc.;AAPL;6.74%;206.75;2.15;(1.05%);2025-04-24
2;Microsoft Corp;MSFT;6.10%;384.63;10.24;(2.73%);2025-04-24
3;Nvidia Corp;NVDA;5.52%;106.08;3.37;(3.28%);2025-04-24
4;Amazon.com Inc;AMZN;3.74%;184.90;4.30;(2.38%);2025-04-24
5;Meta Platforms, Inc. Class A;META;2.50%;529.86;9.59;(1.84%);2025-04-24
6;Berkshire Hathaway Class B;BRK.B;2.12%;530.19;3.38;(0.64%);2025-04-24
7;Alphabet Inc. Class A;GOOGL;1.99%;158.44;3.09;(1.99%);2025-04-24
8;Broadcom Inc.;AVGO;1.82%;187.10;10.19;(5.76%);2025-04-24
9;Alphabet Inc. Class C;GOOG;1.64%;160.58;2.86;(1.81%);2025-04-24
10;Tesla, Inc.;TSLA;1.54%;255.13;4.39;(1.75%);2025-04-24
11;Jpmorgan Chase & Co.;JPM;1.48%;243.96;3.08;(1.28%);2025-04-24
12;Eli Lilly & Co.;LLY;1.43%;852.72;23.30;(2.81%);2025-04-24
13;Visa Inc.;V;1.26%;335.47;1.10;(0.33%);2025-04-24
14;Exxon Mobil Corporation;XOM;1.02%;108.59;1.22;(1.13%);2025-04-24
15;Netflix Inc;NFLX;0.98%;1,091.33;41.74;(3.98%);2025-04-24
16;Costco Wholesale Corp;COST;0.95%;969.30;-6.54;(-0.67%);2025-04-24
17;Mastercard Incorporated;MA;0.95%;533.71;3.70;(0.70%);2025-04-24
18;Walmart Inc.;WMT;0.90%;95.64;0.68;(0.72%);2025-04-24
19;Unitedhealth Group Incorporated;UNH;0.86%;426.12;-1.84;(-0.43%);2025-04-24
20;Procter & Gamble Company;PG;0.85%;158.44;-7.29;(-4.40%);2025-04-24
21;Johnson & Johnson;JNJ;0.82%;153.52;-1.86;(-1.20%);2025-04-24
22;Home Depot, Inc.;HD;0.78%;359.31;2.89;(0.81%);2025-04-24
23;Abbvie Inc.;ABBV;0.69%;180.05;3.00;(1.70%);2025-04-24
24;Coca-Cola Company;KO;0.62%;72.73;-0.57;(-0.78%);2025-04-24
25;Philip Morris International Inc.;PM;0.57%;168.74;0.63;(0.38%);2025-04-24
26;Bank of America Corporation;BAC;0.56%;39.63;0.88;(2.26%);2025-04-24
27;Salesforce, Inc.;CRM;0.53%;263.94;13.46;(5.37%);2025-04-24
28;Chevron Corporation;CVX;0.50%;139.08;2.40;(1.75%);2025-04-24
29;Mcdonald's Corporation;MCD;0.50%;315.07;-3.41;(-1.07%);2025-04-24
30;International Business Machines Corporation;IBM;0.50%;227.86;-17.62;(-7.18%);2025-04-24
31;Abbott Laboratories;ABT;0.49%;129.47;-0.37;(-0.28%);2025-04-24
32;Wells Fargo & Co.;WFC;0.49%;69.46;1.52;(2.24%);2025-04-24
33;Cisco Systems, Inc.;CSCO;0.49%;56.36;0.73;(1.32%);2025-04-24
34;Linde Plc;LIN;0.47%;449.31;1.10;(0.25%);2025-04-24
35;Oracle Corp;ORCL;0.47%;137.14;5.73;(4.36%);2025-04-24
36;Ge Aerospace;GE;0.46%;196.54;2.86;(1.48%);2025-04-24
37;Palantir Technologies Inc. Class A;PLTR;0.45%;106.28;5.46;(5.42%);2025-04-24
38;Merck & Co., Inc.;MRK;0.44%;78.50;-0.24;(-0.31%);2025-04-24
39;Pepsico, Inc.;PEP;0.43%;135.07;-7.19;(-5.06%);2025-04-24
40;At&t Inc.;T;0.43%;27.60;0.40;(1.49%);2025-04-24
41;Accenture Plc;ACN;0.39%;290.46;2.30;(0.80%);2025-04-24
42;Verizon Communications;VZ;0.39%;42.94;0.24;(0.55%);2025-04-24
43;Intuitive Surgical Inc.;ISRG;0.38%;508.21;20.28;(4.16%);2025-04-24
44;Servicenow, Inc.;NOW;0.37%;934.69;121.99;(15.01%);2025-04-24
45;Intuit Inc;INTU;0.37%;612.28;16.23;(2.72%);2025-04-24
46;Goldman Sachs Group Inc.;GS;0.36%;543.94;14.63;(2.76%);2025-04-24
47;Thermo Fisher Scientific, Inc.;TMO;0.36%;421.14;-10.50;(-2.43%);2025-04-24
48;Rtx Corporation;RTX;0.35%;121.12;0.84;(0.70%);2025-04-24
49;The Walt Disney Company;DIS;0.35%;89.75;2.45;(2.81%);2025-04-24
50;Booking Holdings Inc.;BKNG;0.34%;4,812.89;81.86;(1.73%);2025-04-24
51;Qualcomm Inc;QCOM;0.34%;147.55;7.09;(5.05%);2025-04-24
52;Progressive Corporation;PGR;0.34%;264.52;-0.51;(-0.19%);2025-04-24
53;Uber Technologies, Inc.;UBER;0.34%;77.99;4.22;(5.72%);2025-04-24
54;Adobe Inc.;ADBE;0.34%;358.01;6.05;(1.72%);2025-04-24
55;Amgen Inc;AMGN;0.33%;278.75;0.85;(0.31%);2025-04-24
56;S&p Global Inc.;SPGI;0.32%;479.68;9.45;(2.01%);2025-04-24
57;Advanced Micro Devices;AMD;0.32%;94.21;3.82;(4.23%);2025-04-24
58;Boston Scientific Corp.;BSX;0.32%;101.02;2.10;(2.13%);2025-04-24
59;American Express Company;AXP;0.32%;267.31;7.17;(2.76%);2025-04-24
60;Caterpillar Inc.;CAT;0.31%;306.59;10.82;(3.66%);2025-04-24
61;Tjx Companies, Inc.;TJX;0.31%;126.66;1.16;(0.92%);2025-04-24
62;Morgan Stanley;MS;0.30%;115.28;2.97;(2.65%);2025-04-24
63;Texas Instruments Incorporated;TXN;0.30%;163.08;10.93;(7.18%);2025-04-24
64;Nextra Energy, Inc.;NEE;0.30%;66.14;-1.13;(-1.69%);2025-04-24
