#;Company;Symbol;Weight;Price;Chg;% Chg;Date
1;Apple Inc.;AAPL;6.76%;212.76;0.26;(0.12%);2025-05-01
2;Microsoft Corp;MSFT;6.22%;430.18;34.92;(8.84%);2025-05-01
3;Nvidia Corp;NVDA;5.65%;113.51;4.59;(4.22%);2025-05-01
4;Amazon.com Inc;AMZN;3.68%;190.07;5.65;(3.06%);2025-05-01
5;Meta Platforms, Inc. Class A;META;2.54%;576.44;27.44;(5.00%);2025-05-01
6;Berkshire Hathaway Class B;BRK.B;2.07%;530.37;-2.88;(-0.54%);2025-05-01
7;Alphabet Inc. Class A;GOOGL;1.96%;161.84;3.04;(1.91%);2025-05-01
8;Broadcom Inc.;AVGO;1.91%;200.73;8.26;(4.29%);2025-05-01
9;Tesla, Inc.;TSLA;1.67%;283.63;1.47;(0.52%);2025-05-01
10;Alphabet Inc. Class C;GOOG;1.61%;163.63;2.74;(1.70%);2025-05-01
11;Eli Lilly & Co.;LLY;1.50%;812.13;-86.83;(-9.66%);2025-05-01
12;Jpmorgan Chase & Co.;JPM;1.45%;247.65;3.03;(1.24%);2025-05-01
13;Visa Inc.;V;1.26%;342.84;-2.66;(-0.77%);2025-05-01
14;Netflix Inc;NFLX;1.02%;1,140.72;9.00;(0.80%);2025-05-01
15;Exxon Mobil Corporation;XOM;0.97%;106.00;0.37;(0.35%);2025-05-01
16;Mastercard Incorporated;MA;0.94%;548.22;0.16;(0.03%);2025-05-01
17;Costco Wholesale Corp;COST;0.93%;1,004.37;9.87;(0.99%);2025-05-01
18;Walmart Inc.;WMT;0.89%;97.39;0.14;(0.15%);2025-05-01
19;Procter & Gamble Company;PG;0.81%;160.72;-1.85;(-1.14%);2025-05-01
20;Unitedhealth Group Incorporated;UNH;0.80%;402.42;-9.02;(-2.19%);2025-05-01
21;Johnson & Johnson;JNJ;0.80%;154.76;-1.55;(-0.99%);2025-05-01
22;Home Depot, Inc.;HD;0.76%;358.79;-1.70;(-0.47%);2025-05-01
23;Abbvie Inc.;ABBV;0.73%;194.15;-0.95;(-0.49%);2025-05-01
24;Coca-Cola Company;KO;0.59%;71.68;-0.88;(-1.21%);2025-05-01
25;Philip Morris International Inc.;PM;0.56%;170.81;-0.56;(-0.32%);2025-05-01
26;Bank of America Corporation;BAC;0.56%;40.29;0.40;(1.02%);2025-05-01
27;Salesforce, Inc.;CRM;0.54%;271.57;2.86;(1.06%);2025-05-01
28;Palantir Technologies Inc. Class A;PLTR;0.51%;118.79;0.35;(0.29%);2025-05-01
29;Wells Fargo & Co.;WFC;0.49%;72.34;1.32;(1.87%);2025-05-01
30;Cisco Systems, Inc.;CSCO;0.49%;58.29;0.56;(0.97%);2025-05-01
31;Mcdonald's Corporation;MCD;0.48%;316.08;-3.57;(-1.12%);2025-05-01
32;Oracle Corp;ORCL;0.48%;145.74;5.02;(3.56%);2025-05-01
33;Chevron Corporation;CVX;0.48%;136.33;0.27;(0.20%);2025-05-01
34;Abbott Laboratories;ABT;0.48%;131.46;0.71;(0.54%);2025-05-01
35;International Business Machines Corporation;IBM;0.47%;239.40;-2.42;(-1.00%);2025-05-01
36;Ge Aerospace;GE;0.46%;203.90;2.36;(1.17%);2025-05-01
37;Linde Plc;LIN;0.46%;450.06;-3.17;(-0.70%);2025-05-01
38;Merck & Co., Inc.;MRK;0.46%;83.57;-1.63;(-1.91%);2025-05-01
39;At&t Inc.;T;0.42%;27.65;-0.05;(-0.20%);2025-05-01
40;Servicenow, Inc.;NOW;0.42%;970.33;15.32;(1.60%);2025-05-01
41;Accenture Plc;ACN;0.40%;302.60;3.45;(1.15%);2025-05-01
42;Pepsico, Inc.;PEP;0.39%;133.64;-1.94;(-1.43%);2025-05-01
43;Verizon Communications;VZ;0.39%;43.38;-0.68;(-1.54%);2025-05-01
44;Intuitive Surgical Inc.;ISRG;0.39%;519.29;3.49;(0.68%);2025-05-01
45;Intuit Inc;INTU;0.37%;628.55;1.08;(0.17%);2025-05-01
46;Goldman Sachs Group Inc.;GS;0.36%;557.84;10.29;(1.88%);2025-05-01
47;Uber Technologies, Inc.;UBER;0.36%;81.32;0.31;(0.39%);2025-05-01
48;Booking Holdings Inc.;BKNG;0.36%;5,140.47;41.19;(0.81%);2025-05-01
49;Rtx Corporation;RTX;0.36%;127.13;1.00;(0.80%);2025-05-01
50;Progressive Corporation;PGR;0.35%;279.01;-2.73;(-0.97%);2025-05-01
51;The Walt Disney Company;DIS;0.35%;90.70;-0.25;(-0.28%);2025-05-01
52;Qualcomm Inc;QCOM;0.35%;136.69;-11.78;(-7.93%);2025-05-01
53;Thermo Fisher Scientific, Inc.;TMO;0.35%;421.64;-7.37;(-1.72%);2025-05-01
