#;Company;Symbol;Weight;Price;Chg;% Chg;Date
1;Apple Inc.;AAPL;6.63%;199.98;6.81;(3.53%);2025-04-22
2;Microsoft Corp;MSFT;6.10%;365.79;6.67;(1.86%);2025-04-22
3;Nvidia Corp;NVDA;5.42%;98.50;1.59;(1.64%);2025-04-22
4;Amazon.com Inc;AMZN;3.61%;172.95;5.63;(3.37%);2025-04-22
5;Meta Platforms, Inc. Class A;META;2.43%;497.97;13.31;(2.75%);2025-04-22
6;Berkshire Hathaway Class B;BRK.B;2.12%;518.93;12.01;(2.37%);2025-04-22
7;Alphabet Inc. Class A;GOOGL;1.97%;150.88;3.21;(2.17%);2025-04-22
8;Broadcom Inc.;AVGO;1.78%;168.39;2.18;(1.31%);2025-04-22
9;Alphabet Inc. Class C;GOOG;1.62%;153.29;3.43;(2.29%);2025-04-22
10;Eli Lilly & Co.;LLY;1.47%;824.72;6.70;(0.82%);2025-04-22
11;Jpmorgan Chase & Co.;JPM;1.46%;234.84;5.85;(2.56%);2025-04-22
12;Tesla, Inc.;TSLA;1.46%;237.95;10.45;(4.59%);2025-04-22
13;Visa Inc.;V;1.26%;331.39;11.29;(3.53%);2025-04-22
14;Exxon Mobil Corporation;XOM;1.05%;108.01;2.66;(2.53%);2025-04-22
15;Costco Wholesale Corp;COST;0.97%;977.11;19.34;(2.02%);2025-04-22
16;Netflix Inc;NFLX;0.97%;1,045.83;57.92;(5.86%);2025-04-22
17;Mastercard Incorporated;MA;0.95%;526.39;17.06;(3.35%);2025-04-22
18;Walmart Inc.;WMT;0.92%;94.66;2.25;(2.43%);2025-04-22
19;Unitedhealth Group Incorporated;UNH;0.89%;423.41;-1.92;(-0.45%);2025-04-22
20;Procter & Gamble Company;PG;0.89%;167.39;1.64;(0.99%);2025-04-22
21;Johnson & Johnson;JNJ;0.86%;157.55;0.63;(0.40%);2025-04-22
22;Home Depot, Inc.;HD;0.79%;353.88;6.98;(2.01%);2025-04-22
23;Abbvie Inc.;ABBV;0.69%;173.48;3.32;(1.95%);2025-04-22
24;Coca-Cola Company;KO;0.64%;73.47;0.70;(0.96%);2025-04-22
25;Philip Morris International Inc.;PM;0.58%;163.88;1.70;(1.05%);2025-04-22
26;Bank of America Corporation;BAC;0.56%;38.11;1.19;(3.23%);2025-04-22
27;Salesforce, Inc.;CRM;0.52%;243.14;6.88;(2.91%);2025-04-22
28;Abbott Laboratories;ABT;0.51%;131.48;1.59;(1.23%);2025-04-22
29;Chevron Corporation;CVX;0.51%;137.10;3.37;(2.52%);2025-04-22
30;Mcdonald's Corporation;MCD;0.51%;317.52;8.80;(2.85%);2025-04-22
31;International Business Machines Corporation;IBM;0.50%;239.96;3.74;(1.58%);2025-04-22
32;Cisco Systems, Inc.;CSCO;0.49%;55.04;0.66;(1.22%);2025-04-22
33;Linde Plc;LIN;0.48%;452.55;8.70;(1.96%);2025-04-22
34;Wells Fargo & Co.;WFC;0.48%;66.14;2.13;(3.33%);2025-04-22
35;Oracle Corp;ORCL;0.46%;126.68;3.86;(3.14%);2025-04-22
36;Merck & Co., Inc.;MRK;0.45%;78.48;0.63;(0.81%);2025-04-22
37;Pepsico, Inc.;PEP;0.44%;142.78;1.05;(0.74%);2025-04-22
38;Ge Aerospace;GE;0.44%;187.65;9.30;(5.21%);2025-04-22
39;At&t Inc.;T;0.43%;26.98;0.65;(2.45%);2025-04-22
40;Palantir Technologies Inc. Class A;PLTR;0.43%;94.35;3.55;(3.91%);2025-04-22
41;Verizon Communications;VZ;0.41%;42.94;0.01;(0.01%);2025-04-22
42;Accenture Plc;ACN;0.40%;283.65;4.42;(1.58%);2025-04-22
43;Rtx Corporation;RTX;0.38%;113.80;-12.32;(-9.77%);2025-04-22
44;Intuitive Surgical Inc.;ISRG;0.38%;479.00;10.68;(2.28%);2025-04-22
45;Thermo Fisher Scientific, Inc.;TMO;0.37%;433.48;11.63;(2.76%);2025-04-22
46;Intuit Inc;INTU;0.36%;582.88;14.04;(2.47%);2025-04-22
47;Goldman Sachs Group Inc.;GS;0.36%;518.26;16.90;(3.37%);2025-04-22
48;Servicenow, Inc.;NOW;0.36%;763.99;8.00;(1.06%);2025-04-22
49;Uber Technologies, Inc.;UBER;0.35%;73.71;0.79;(1.08%);2025-04-22
50;The Walt Disney Company;DIS;0.35%;85.96;1.96;(2.34%);2025-04-22
51;Progressive Corporation;PGR;0.34%;264.67;7.26;(2.82%);2025-04-22
52;Qualcomm Inc;QCOM;0.34%;138.18;2.04;(1.50%);2025-04-22
53;Adobe Inc.;ADBE;0.34%;349.57;6.34;(1.85%);2025-04-22
54;Amgen Inc;AMGN;0.34%;276.88;3.20;(1.17%);2025-04-22
55;Booking Holdings Inc.;BKNG;0.34%;4,589.29;151.65;(3.42%);2025-04-22
56;S&p Global Inc.;SPGI;0.32%;464.36;15.37;(3.42%);2025-04-22
57;Tjx Companies, Inc.;TJX;0.32%;126.17;2.19;(1.77%);2025-04-22
58;Advanced Micro Devices;AMD;0.32%;86.12;0.56;(0.65%);2025-04-22
59;Boston Scientific Corp.;BSX;0.32%;95.36;1.78;(1.91%);2025-04-22
60;Caterpillar Inc.;CAT;0.31%;291.67;6.93;(2.43%);2025-04-22
61;American Express Company;AXP;0.31%;252.62;10.11;(4.17%);2025-04-22
62;Nextra Energy, Inc.;NEE;0.30%;66.08;1.40;(2.16%);2025-04-22
63;Texas Instruments Incorporated;TXN;0.30%;146.67;1.06;(0.73%);2025-04-22
64;Morgan Stanley;MS;0.30%;110.06;3.76;(3.54%);2025-04-22
65;Union Pacific Corp.;UNP;0.30%;216.31;0.26;(0.12%);2025-04-22
66;Gilead Sciences Inc;GILD;0.30%;105.75;1.42;(1.36%);2025-04-22
67;The Charles Schwab Corporation;SCHW;0.29%;75.97;1.02;(1.36%);2025-04-22
68;Comcast Corp;CMCSA;0.29%;34.05;0.45;(1.35%);2025-04-22
69;Honeywell International, Inc.;HON;0.29%;198.21;3.98;(2.05%);2025-04-22
70;Pfizer Inc.;PFE;0.29%;22.47;0.43;(1.93%);2025-04-22
71;Blackrock, Inc.;BLK;0.28%;884.19;30.19;(3.54%);2025-04-22
72;Vertex Pharmaceuticals Inc;VRTX;0.28%;488.39;10.87;(2.28%);2025-04-22
73;T-Mobile Us, Inc.;TMUS;0.28%;256.33;2.85;(1.12%);2025-04-22
74;Lowe's Companies Inc.;LOW;0.27%;218.53;5.76;(2.71%);2025-04-22
75;Boeing Company;BA;0.27%;161.91;2.57;(1.61%);2025-04-22
76;Danaher Corporation;DHR;0.27%;193.90;8.94;(4.83%);2025-04-22
77;Fiserv, Inc.;FI;0.27%;213.57;6.11;(2.94%);2025-04-22
78;Citigroup Inc.;C;0.27%;64.43;1.74;(2.78%);2025-04-22
79;Stryker Corporation;SYK;0.27%;347.46;7.87;(2.32%);2025-04-22
80;Automatic Data Processing;ADP;0.26%;292.04;7.19;(2.52%);2025-04-22
81;Deere & Company;DE;0.26%;455.62;14.06;(3.18%);2025-04-22
82;Conocophillips;COP;0.26%;89.61;2.06;(2.35%);2025-04-22
83;Applied Materials Inc;AMAT;0.25%;137.59;2.04;(1.50%);2025-04-22
84;Palo Alto Networks, Inc.;PANW;0.24%;163.80;3.74;(2.34%);2025-04-22
85;Medtronic Plc;MDT;0.24%;83.29;1.49;(1.82%);2025-04-22
86;Chubb Limited;CB;0.24%;290.34;10.56;(3.77%);2025-04-22
87;Marsh & Mclennan Companies, Inc.;MMC;0.24%;218.50;6.40;(3.02%);2025-04-22
88;Eaton Corporation, Plcs;ETN;0.23%;267.55;8.08;(3.12%);2025-04-22
89;American Tower Corporation;AMT;0.23%;219.87;1.88;(0.86%);2025-04-22
90;Bristol-Myers Squibb Co.;BMY;0.23%;49.61;0.67;(1.36%);2025-04-22
91;The Southern Company;SO;0.23%;91.46;1.23;(1.37%);2025-04-22
92;Altria Group, Inc.;MO;0.22%;58.64;1.00;(1.74%);2025-04-22
93;Lockheed Martin Corp.;LMT;0.22%;459.65;1.31;(0.29%);2025-04-22
94;Elevance Health, Inc.;ELV;0.22%;413.13;6.44;(1.58%);2025-04-22
95;Cme Group Inc.;CME;0.21%;263.63;3.30;(1.27%);2025-04-22
96;Duke Energy Corporation;DUK;0.21%;122.19;2.02;(1.68%);2025-04-22
97;Starbucks Corp;SBUX;0.21%;82.30;1.62;(2.01%);2025-04-22
98;Prologis, Inc.;PLD;0.21%;99.94;1.31;(1.33%);2025-04-22
99;Crowdstrike Holdings, Inc. Class A;CRWD;0.20%;367.56;4.87;(1.34%);2025-04-22
100;Intercontinental Exchange  Inc.;ICE;0.20%;159.88;4.85;(3.13%);2025-04-22
101;The Cigna Group;CI;0.20%;333.66;8.89;(2.74%);2025-04-22
102;Blackstone Inc.;BX;0.20%;124.52;4.30;(3.58%);2025-04-22
103;Mondelez International, Inc. Class A;MDLZ;0.20%;68.30;0.54;(0.80%);2025-04-22
104;Welltower Inc.;WELL;0.20%;146.80;3.15;(2.19%);2025-04-22
105;Analog Devices, Inc.;ADI;0.20%;178.13;3.14;(1.80%);2025-04-22
106;Ge Vernova Inc.;GEV;0.20%;328.23;15.15;(4.84%);2025-04-22
107;Mckesson Corporation;MCK;0.20%;693.01;10.52;(1.54%);2025-04-22
108;Waste Management, Inc.;WM;0.19%;229.04;1.47;(0.65%);2025-04-22
109;Kla Corporation;KLAC;0.19%;631.98;11.18;(1.80%);2025-04-22
110;Intel Corp;INTC;0.19%;19.48;0.64;(3.37%);2025-04-22
111;Arthur J. Gallagher & Co.;AJG;0.19%;329.42;10.02;(3.14%);2025-04-22
112;Cvs Health Corporation;CVS;0.19%;65.21;0.04;(0.06%);2025-04-22
113;Lam Research Corp;LRCX;0.18%;63.28;0.89;(1.42%);2025-04-22
114;O'reilly Automotive, Inc.;ORLY;0.18%;1,385.93;17.43;(1.27%);2025-04-22
115;Aon Plc Class A;AON;0.18%;366.02;10.07;(2.83%);2025-04-22
116;Amphenol Corporation;APH;0.18%;65.70;2.11;(3.31%);2025-04-22
117;Colgate-Palmolive Company;CL;0.18%;95.24;0.54;(0.57%);2025-04-22
118;Equinix, Inc. Reit;EQIX;0.17%;790.15;16.95;(2.19%);2025-04-22
119;The Sherwin-Williams Company;SHW;0.17%;331.05;8.75;(2.72%);2025-04-22
120;Micron Technology, Inc.;MU;0.17%;69.93;3.19;(4.79%);2025-04-22
121;Transdigm Group Incorporated;TDG;0.17%;1,307.88;1.33;(0.10%);2025-04-22
122;Trane Technologies Plc;TT;0.17%;333.48;11.11;(3.45%);2025-04-22
